Replicate Name,Group,Type
1312022_1547 PM_A_019,STD6,STD
1312022_1547 PM_B_016,STD5,STD
1312022_1547 PM_C_014,STD4,STD
1312022_1547 PM_E_010,STD3,STD
1312022_1547 PM_F_008,STD2,STD
1312022_1547 PM_G_006,STD1,STD
1312022_1547 PM_LLOQ_002,LLOQ,STD
1312022_1547 PM_ULOQ_022,ULOQ,STD
1312022_1547 PM_X 1.1 plasma_082,RP,plasma
1312022_1547 PM_X 1.1_084,RP,water
1312022_1547 PM_X 1.2 plasma_066,RP,plasma
1312022_1547 PM_X 1.2_086,RP,water
1312022_1547 PM_X 1.3_090,RP,water
1312022_1547 PM_X-AC 1.1 plasma_068,X-AC,plasma
1312022_1547 PM_X-AC 1.1_080,X-AC,water
1312022_1547 PM_X-AC 1.2 plasma_096,X-AC,plasma
1312022_1547 PM_X-AC 1.2_064,X-AC,water
1312022_1547 PM_X-AC 1.3 plasma_054,X-AC,plasma
1312022_1547 PM_X-AC 1.3_056,X-AC,water
1312022_1547 PM_X-AC 2.1 plasma_036,X-AC,plasma
1312022_1547 PM_X-AC 2.1_102,X-AC,water
1312022_1547 PM_X-AC 2.2 plasma_094,X-AC,plasma
1312022_1547 PM_X-AC 2.2_098,X-AC,water
1312022_1547 PM_X-AC 2.3 plasma_038,X-AC,plasma
1312022_1547 PM_X-AC 2.3_100,X-AC,water
1312022_1547 PM_X-C 1.1 plasma_050,X-C,plasma
1312022_1547 PM_X-C 1.1_062,X-C,water
1312022_1547 PM_X-C 1.2 plasma_040,X-C,plasma
1312022_1547 PM_X-C 1.2_092,X-C,water
1312022_1547 PM_X-C 1.3_058,X-C,water
1312022_1547 PM_X-C 2.1 plasma_046,X-C,plasma
1312022_1547 PM_X-C 2.1_088,X-C,water
1312022_1547 PM_X-C 2.2_032,X-C,water
1312022_1547 PM_X-C 2.3_048,X-C,water
1312022_1547 PM_X-WC 1.1 plasma_028,X-WC,plasma
1312022_1547 PM_X-WC 1.1_060,X-WC,water
1312022_1547 PM_X-WC 1.2 plasma_034,X-WC,plasma
1312022_1547 PM_X-WC 1.2_078,X-WC,water
1312022_1547 PM_X-WC 1.3 plasma_070,X-WC,plasma
1312022_1547 PM_X-WC 1.3_044,X-WC,water
1312022_1547 PM_X-WC 2.1 plasma_052,X-WC,plasma
1312022_1547 PM_X-WC 2.1_042,X-WC,water
1312022_1547 PM_X-WC 2.2 plasma_030,X-WC,plasma
1312022_1547 PM_X-WC 2.2_076,X-WC,water
1312022_1547 PM_X-WC 2.3 plasma_074,X-WC,plasma
1312022_1547 PM_X-WC 2.3_072,X-WC,water
212022_2210 PM_A_002,STD6,STD
212022_2244 PM_WC plasma 1.1_010,X-WC_2,plasma
212022_2244 PM_WC plasma 1.2_016,X-WC_2,plasma
212022_2244 PM_WC plasma 2.1_012,X-WC_2,plasma
212022_2244 PM_WC plasma 2.2_018,X-WC_2,plasma
212022_2244 PM_WC plasma 3.1_014,X-WC_2,plasma
212022_2244 PM_WC plasma 3.2_020,X-WC_2,plasma
212022_2244 PM_WC water 1.1_022,X-WC_2,water
212022_2244 PM_WC water 1.2_028,X-WC_2,water
212022_2244 PM_WC water 2.1_024,X-WC_2,water
212022_2244 PM_WC water 2.2_030,X-WC_2,water
212022_2244 PM_WC water 3.1_026,X-WC_2,water
212022_2244 PM_WC water 3.2_032,X-WC_2,water
212022_2244 PM_X 1.3 plasma_002,RP,plasma
212022_2244 PM_X-C 1.3 plasma_004,X-C,plasma
212022_2244 PM_X-C 2.2 plasma_008,X-C,plasma
212022_2244 PM_X-C 2.3 plasma_006,X-C,plasma
,,
