Protein Name,Peptide,Precursor Mz,Product Mz,Total Area,Retention Time,Replicate Name
AB1_HC,AB1_HC_1,822.4,1180.6,1223884,4.4,1312022_1547 PM_A_019
AB1_HC,AB1_HC_2,822.4,1033.55,2695664,4.4,1312022_1547 PM_A_019
AB1_HC,AB1_HC_3,822.4,932.5,2706,5.01,1312022_1547 PM_A_019
AB1_LC,AB1_LC_1,944.5,229.1,5007568,3.96,1312022_1547 PM_A_019
AB1_LC,AB1_LC_2,944.5,328.2,3892232,3.96,1312022_1547 PM_A_019
AB1_LC,AB1_LC_3,944.5,1113.6,5088398,3.96,1312022_1547 PM_A_019
AB2_HC,AB2_HC_1,741.3,1143.45,2810873,2.29,1312022_1547 PM_A_019
AB2_HC,AB2_HC_2,741.3,980.4,3665971,2.29,1312022_1547 PM_A_019
AB2_HC,AB2_HC_3,741.3,820.35,3124193,2.29,1312022_1547 PM_A_019
AB2_HC2,AB2_HC2_1,654.8,577.25,4946,5.02,1312022_1547 PM_A_019
AB2_HC2,AB2_HC2_2,654.8,863.35,208729,2.38,1312022_1547 PM_A_019
AB2_HC2,AB2_HC2_3,654.8,569.25,95770,2.38,1312022_1547 PM_A_019
AB3_HC,AB3_HC_1,941.5,357.2,3428461,3.89,1312022_1547 PM_A_019
AB3_HC,AB3_HC_2,941.5,714.4,4506709,3.89,1312022_1547 PM_A_019
AB3_HC,AB3_HC_3,941.5,586.35,11076096,3.89,1312022_1547 PM_A_019
AB3_LC,AB3_LC_1,942.5,243.15,5774481,4.12,1312022_1547 PM_A_019
AB3_LC,AB3_LC_2,942.5,342.2,4013725,4.12,1312022_1547 PM_A_019
AB3_LC,AB3_LC_3,942.5,1113.6,6823307,4.12,1312022_1547 PM_A_019
Shared_1,Shared_1_1,581.3,820.45,67986,3.79,1312022_1547 PM_A_019
Shared_1,Shared_1_2,581.3,919.55,62649,3.78,1312022_1547 PM_A_019
Shared_1,Shared_1_3,581.3,342.2,30074,3.78,1312022_1547 PM_A_019
Shared_2,Shared_2_1,835.45,217.1,2010865,2.83,1312022_1547 PM_A_019
Shared_2,Shared_2_2,835.45,330.15,3612279,2.83,1312022_1547 PM_A_019
Shared_2,Shared_2_3,835.45,720.4,3565479,2.83,1312022_1547 PM_A_019
IS_AB1_HC,IS_AB1_HC_1,827.4,1190.6,745012,4.4,1312022_1547 PM_A_019
IS_AB1_HC,IS_AB1_HC_2,827.4,1043.6,1509814,4.4,1312022_1547 PM_A_019
IS_AB1_HC,IS_AB1_HC_3,827.4,942.5,1346323,4.4,1312022_1547 PM_A_019
IS_AB1_LC,IS_AB1_LC_1,949.5,229.1,5724668,3.97,1312022_1547 PM_A_019
IS_AB1_LC,IS_AB1_LC_2,949.5,328.2,4574760,3.97,1312022_1547 PM_A_019
IS_AB1_LC,IS_AB1_LC_3,949.5,1123.6,6165599,3.97,1312022_1547 PM_A_019
IS_AB2_HC,IS_AB2_HC_1,746.3,1153.5,2545976,2.29,1312022_1547 PM_A_019
IS_AB2_HC,IS_AB2_HC_2,746.3,990.4,3174994,2.29,1312022_1547 PM_A_019
IS_AB2_HC,IS_AB2_HC_3,746.3,830.4,3642,2.93,1312022_1547 PM_A_019
IS_AB2_HC2,IS_AB2_HC2_1,659.8,873.4,262000,2.37,1312022_1547 PM_A_019
IS_AB2_HC2,IS_AB2_HC2_2,659.8,742.3,482327,2.38,1312022_1547 PM_A_019
IS_AB2_HC2,IS_AB2_HC2_3,659.8,579.3,143920,2.37,1312022_1547 PM_A_019
IS_AB3_HC,IS_AB3_HC_1,946.5,357.2,2445867,3.89,1312022_1547 PM_A_019
IS_AB3_HC,IS_AB3_HC_2,946.5,724.4,3223642,3.89,1312022_1547 PM_A_019
IS_AB3_HC,IS_AB3_HC_3,946.5,596.3,7977781,3.89,1312022_1547 PM_A_019
IS_AB3_LC,IS_AB3_LC_1,947.5,243.1,4347295,4.12,1312022_1547 PM_A_019
IS_AB3_LC,IS_AB3_LC_2,947.5,342.2,3039854,4.12,1312022_1547 PM_A_019
IS_AB3_LC,IS_AB3_LC_3,947.5,1123.6,5516510,4.12,1312022_1547 PM_A_019
IS_Shared_1,IS_Shared_1_1,585.35,429.2,2222,4.97,1312022_1547 PM_A_019
IS_Shared_1,IS_Shared_1_2,585.35,828.5,79827,3.78,1312022_1547 PM_A_019
IS_Shared_1,IS_Shared_1_3,585.35,243.1,36146,3.78,1312022_1547 PM_A_019
IS_Shared_2,IS_Shared_2_1,845.4,217.1,4718437,2.82,1312022_1547 PM_A_019
IS_Shared_2,IS_Shared_2_2,845.4,330.2,9238981,2.82,1312022_1547 PM_A_019
IS_Shared_2,IS_Shared_2_3,845.4,730.4,7970228,2.82,1312022_1547 PM_A_019
AB1_HC,AB1_HC_1,822.4,1180.6,787755,4.38,1312022_1547 PM_B_016
AB1_HC,AB1_HC_2,822.4,1033.55,1806188,4.38,1312022_1547 PM_B_016
AB1_HC,AB1_HC_3,822.4,932.5,1354986,4.38,1312022_1547 PM_B_016
AB1_LC,AB1_LC_1,944.5,229.1,3021991,3.94,1312022_1547 PM_B_016
AB1_LC,AB1_LC_2,944.5,328.2,2375614,3.94,1312022_1547 PM_B_016
AB1_LC,AB1_LC_3,944.5,1113.6,3048904,3.94,1312022_1547 PM_B_016
AB2_HC,AB2_HC_1,741.3,1143.45,1935277,2.24,1312022_1547 PM_B_016
AB2_HC,AB2_HC_2,741.3,980.4,2268564,2.24,1312022_1547 PM_B_016
AB2_HC,AB2_HC_3,741.3,820.35,2112968,2.24,1312022_1547 PM_B_016
AB2_HC2,AB2_HC2_1,654.8,577.25,21816,4.94,1312022_1547 PM_B_016
AB2_HC2,AB2_HC2_2,654.8,863.35,133647,2.33,1312022_1547 PM_B_016
AB2_HC2,AB2_HC2_3,654.8,569.25,63099,2.33,1312022_1547 PM_B_016
AB3_HC,AB3_HC_1,941.5,357.2,2048761,3.86,1312022_1547 PM_B_016
AB3_HC,AB3_HC_2,941.5,714.4,2806697,3.86,1312022_1547 PM_B_016
AB3_HC,AB3_HC_3,941.5,586.35,6951392,3.86,1312022_1547 PM_B_016
AB3_LC,AB3_LC_1,942.5,243.15,3523260,4.09,1312022_1547 PM_B_016
AB3_LC,AB3_LC_2,942.5,342.2,2434117,4.09,1312022_1547 PM_B_016
AB3_LC,AB3_LC_3,942.5,1113.6,4138154,4.09,1312022_1547 PM_B_016
Shared_1,Shared_1_1,581.3,820.45,41777,3.76,1312022_1547 PM_B_016
Shared_1,Shared_1_2,581.3,919.55,40324,3.76,1312022_1547 PM_B_016
Shared_1,Shared_1_3,581.3,342.2,25036,3.76,1312022_1547 PM_B_016
Shared_2,Shared_2_1,835.45,217.1,1363176,2.79,1312022_1547 PM_B_016
Shared_2,Shared_2_2,835.45,330.15,2520338,2.79,1312022_1547 PM_B_016
Shared_2,Shared_2_3,835.45,720.4,2411167,2.79,1312022_1547 PM_B_016
IS_AB1_HC,IS_AB1_HC_1,827.4,1190.6,489492,4.38,1312022_1547 PM_B_016
IS_AB1_HC,IS_AB1_HC_2,827.4,1043.6,1012378,4.38,1312022_1547 PM_B_016
IS_AB1_HC,IS_AB1_HC_3,827.4,942.5,904004,4.38,1312022_1547 PM_B_016
IS_AB1_LC,IS_AB1_LC_1,949.5,229.1,3557593,3.94,1312022_1547 PM_B_016
IS_AB1_LC,IS_AB1_LC_2,949.5,328.2,2810190,3.94,1312022_1547 PM_B_016
IS_AB1_LC,IS_AB1_LC_3,949.5,1123.6,3783476,3.94,1312022_1547 PM_B_016
IS_AB2_HC,IS_AB2_HC_1,746.3,1153.5,1590108,2.23,1312022_1547 PM_B_016
IS_AB2_HC,IS_AB2_HC_2,746.3,990.4,1954044,2.23,1312022_1547 PM_B_016
IS_AB2_HC,IS_AB2_HC_3,746.3,830.4,959,3.18,1312022_1547 PM_B_016
IS_AB2_HC2,IS_AB2_HC2_1,659.8,873.4,163140,2.33,1312022_1547 PM_B_016
IS_AB2_HC2,IS_AB2_HC2_2,659.8,742.3,344992,2.33,1312022_1547 PM_B_016
IS_AB2_HC2,IS_AB2_HC2_3,659.8,579.3,98459,2.33,1312022_1547 PM_B_016
IS_AB3_HC,IS_AB3_HC_1,946.5,357.2,1484133,3.86,1312022_1547 PM_B_016
IS_AB3_HC,IS_AB3_HC_2,946.5,724.4,1957680,3.86,1312022_1547 PM_B_016
IS_AB3_HC,IS_AB3_HC_3,946.5,596.3,5128853,3.86,1312022_1547 PM_B_016
IS_AB3_LC,IS_AB3_LC_1,947.5,243.1,2617226,4.09,1312022_1547 PM_B_016
IS_AB3_LC,IS_AB3_LC_2,947.5,342.2,1835170,4.09,1312022_1547 PM_B_016
IS_AB3_LC,IS_AB3_LC_3,947.5,1123.6,3288162,4.09,1312022_1547 PM_B_016
IS_Shared_1,IS_Shared_1_1,585.35,429.2,11428,4.95,1312022_1547 PM_B_016
IS_Shared_1,IS_Shared_1_2,585.35,828.5,44514,3.77,1312022_1547 PM_B_016
IS_Shared_1,IS_Shared_1_3,585.35,243.1,17887,3.76,1312022_1547 PM_B_016
IS_Shared_2,IS_Shared_2_1,845.4,217.1,3053220,2.79,1312022_1547 PM_B_016
IS_Shared_2,IS_Shared_2_2,845.4,330.2,6005237,2.79,1312022_1547 PM_B_016
