Protein Name,Peptide,Precursor Mz,Product Mz,Total Area,Retention Time,Replicate Name,ions
AB1,AB1_HC,822.4,1180.6,1223884.0,4.4,1312022_1547 PM_A_019,1
AB1,AB1_HC,822.4,1033.55,2695664.0,4.4,1312022_1547 PM_A_019,2
AB1,AB1_HC,822.4,932.5,2706.0,5.01,1312022_1547 PM_A_019,3
AB1,AB1_LC,944.5,229.1,5007568.0,3.96,1312022_1547 PM_A_019,1
AB1,AB1_LC,944.5,328.2,3892232.0,3.96,1312022_1547 PM_A_019,2
AB1,AB1_LC,944.5,1113.6,5088398.0,3.96,1312022_1547 PM_A_019,3
AB2,AB2_HC,741.3,1143.45,2810873.0,2.29,1312022_1547 PM_A_019,1
AB2,AB2_HC,741.3,980.4,3665971.0,2.29,1312022_1547 PM_A_019,2
AB2,AB2_HC,741.3,820.35,3124193.0,2.29,1312022_1547 PM_A_019,3
AB2,AB2_HC2,654.8,577.25,4946.0,5.02,1312022_1547 PM_A_019,1
AB2,AB2_HC2,654.8,863.35,208729.0,2.38,1312022_1547 PM_A_019,2
AB2,AB2_HC2,654.8,569.25,95770.0,2.38,1312022_1547 PM_A_019,3
AB3,AB3_HC,941.5,357.2,3428461.0,3.89,1312022_1547 PM_A_019,1
AB3,AB3_HC,941.5,714.4,4506709.0,3.89,1312022_1547 PM_A_019,2
AB3,AB3_HC,941.5,586.35,11076096.0,3.89,1312022_1547 PM_A_019,3
AB3,AB3_LC,942.5,243.15,5774481.0,4.12,1312022_1547 PM_A_019,1
AB3,AB3_LC,942.5,342.2,4013725.0,4.12,1312022_1547 PM_A_019,2
AB3,AB3_LC,942.5,1113.6,6823307.0,4.12,1312022_1547 PM_A_019,3
Shared,Shared_1,581.3,820.45,67986.0,3.79,1312022_1547 PM_A_019,1
Shared,Shared_1,581.3,919.55,62649.0,3.78,1312022_1547 PM_A_019,2
Shared,Shared_1,581.3,342.2,30074.0,3.78,1312022_1547 PM_A_019,3
Shared,Shared_2,835.45,217.1,2010865.0,2.83,1312022_1547 PM_A_019,1
Shared,Shared_2,835.45,330.15,3612279.0,2.83,1312022_1547 PM_A_019,2
